
# Explanation:
#   SampleID: unique folder name for each sample.
#   Rwp(%)   : final Rwp in percent (Bragg-Only, Conventional line).
#   ZeroShift: final zero shift (degrees).
#   Biso_Ce  : isotropic displacement parameter for atom Ce.
#   Biso_O  : isotropic displacement parameter for atom O.
#   Scale    : final scale factor.
#   U, V, W  : final peak shape parameters.
#   a        : cubic lattice parameter (Å).
#   Status   : parse result from .out (OK, NO_OUT, NEG_BISO, etc.).
#   Class    : classification label [CLOSE, BOUNDARY, INVALID].
#   FirstBragg: first bragg peak 2theta from .prf

Run: 1
DateTime: 2025-05-12_05-34-00
Crystal Structure: cubic
# If 'sample1' is found, we define reference_rwp = that sample's Rwp => Rref.
# Reference Rwp (Rref) from sample1 => 12.600
# Thresholds => Close < (Rref+10), Boundary < (Rref+20), else Invalid.
# SampleID        Rwp(%)    ZeroShift    Biso_Ce  Biso_O  Scale      U        V        W       a      FirstBragg   Status     Class
sample1         12.600     -0.01850   0.03938   0.84886      0.000644   0.02155  -0.03966   0.01966   5.41143    28.52790  OK        CLOSE
sample10        17.600     -0.01194   0.03938   0.84893      0.000644   0.02154  -0.03969   0.01967   5.41119    28.53570  OK        CLOSE
sample100       12.600     -0.01979   0.03938   0.84886      0.000644   0.02155  -0.03962   0.01967   5.41130    28.52730  OK        CLOSE
sample1000      12.500     -0.02270   0.03938   0.84885      0.000644   0.02155  -0.03963   0.01967   5.41121    28.52490  OK        CLOSE
sample10000     12.900     -0.01971   0.03938   0.84894      0.000644   0.02155  -0.03965   0.01968   5.41120    28.52790  OK        CLOSE
sample1001      13.400     -0.01520   0.03938   0.84894      0.000644   0.02153  -0.03966   0.01965   5.41148    28.53090  OK        CLOSE
sample1002      16.600     -0.01145   0.03938   0.84881      0.000644   0.02156  -0.03968   0.01968   5.41134    28.53540  OK        CLOSE
sample1003      12.700     -0.01895   0.03938   0.84890      0.000643   0.02154  -0.03964   0.01966   5.41161    28.52640  OK        CLOSE
sample1004      12.500     -0.02083   0.03938   0.84883      0.000644   0.02154  -0.03963   0.01964   5.41141    28.52560  OK        CLOSE
sample1005      13.400     -0.01333   0.03938   0.84892      0.000644   0.02156  -0.03968   0.01966   5.41168    28.53170  OK        CLOSE
sample1006      13.500     -0.01708   0.03938   0.84879      0.000644   0.02152  -0.03969   0.01965   5.41128    28.53010  OK        CLOSE
sample1007      14.600     -0.02458   0.03938   0.84887      0.000645   0.02155  -0.03966   0.01967   5.41155    28.52120  OK        CLOSE
sample1008      13.300     -0.02505   0.03938   0.84889      0.000644   0.02156  -0.03967   0.01966   5.41126    28.52230  OK        CLOSE
sample1009      12.700     -0.01755   0.03938   0.84881      0.000643   0.02153  -0.03963   0.01964   5.41153    28.52830  OK        CLOSE
sample101       14.300     -0.01229   0.03938   0.84894      0.000644   0.02153  -0.03966   0.01965   5.41157    28.53340  OK        CLOSE
sample1010      14.400     -0.01380   0.03938   0.84893      0.000644   0.02155  -0.03965   0.01967   5.41140    28.53280  OK        CLOSE
sample1011      13.300     -0.02130   0.03938   0.84885      0.000644   0.02152  -0.03969   0.01965   5.41167    28.52380  OK        CLOSE
sample1012      12.600     -0.01942   0.03938   0.84887      0.000644   0.02153  -0.03968   0.01965   5.41133    28.52750  OK        CLOSE
sample1013      14.300     -0.01192   0.03938   0.84878      0.000645   0.02155  -0.03964   0.01967   5.41160    28.53360  OK        CLOSE
sample1014      14.500     -0.01567   0.03938   0.84891      0.000644   0.02154  -0.03966   0.01966   5.41119    28.53200  OK        CLOSE
sample1015      13.200     -0.02317   0.03938   0.84883      0.000644   0.02156  -0.03970   0.01968   5.41146    28.52300  OK        CLOSE
sample1016      13.300     -0.02411   0.03938   0.84879      0.000643   0.02156  -0.03967   0.01966   5.41136    28.52260  OK        CLOSE
sample1017      12.800     -0.01661   0.03938   0.84888      0.000644   0.02154  -0.03963   0.01968   5.41163    28.52870  OK        CLOSE
sample1018      16.400     -0.01286   0.03938   0.84884      0.000644   0.02155  -0.03965   0.01965   5.41123    28.53460  OK        CLOSE
sample1019      12.600     -0.02036   0.03938   0.84892      0.000644   0.02153  -0.03969   0.01967   5.41150    28.52570  OK        CLOSE
sample102       14.500     -0.01604   0.03938   0.84881      0.000644   0.02156  -0.03968   0.01968   5.41116    28.53180  OK        CLOSE
sample1020      12.500     -0.02224   0.03938   0.84882      0.000645   0.02153  -0.03968   0.01967   5.41116    28.52560  OK        CLOSE
sample1021      13.800     -0.01474   0.03938   0.84890      0.000644   0.02155  -0.03964   0.01965   5.41143    28.53160  OK        CLOSE
sample1022      12.900     -0.01849   0.03938   0.84886      0.000644   0.02154  -0.03966   0.01966   5.41129    28.52860  OK        CLOSE
sample1023      15.900     -0.02599   0.03938   0.84894      0.000644   0.02156  -0.03970   0.01964   5.41156    28.51970  OK        CLOSE
sample1024      14.300     -0.02598   0.03938   0.84889      0.000644   0.02156  -0.03969   0.01967   5.41136    28.52080  OK        CLOSE
sample1025      12.700     -0.01848   0.03938   0.84880      0.000643   0.02153  -0.03965   0.01965   5.41163    28.52680  OK        CLOSE
sample1026      14.900     -0.01473   0.03938   0.84893      0.000644   0.02157  -0.03963   0.01966   5.41122    28.53280  OK        CLOSE
sample1027      12.900     -0.02223   0.03938   0.84884      0.000644   0.02154  -0.03967   0.01964   5.41150    28.52380  OK        CLOSE
sample1028      12.800     -0.02035   0.03938   0.84887      0.000644   0.02154  -0.03970   0.01966   5.41116    28.52750  OK        CLOSE
sample1029      14.700     -0.01285   0.03938   0.84878      0.000645   0.02156  -0.03966   0.01968   5.41143    28.53350  OK        CLOSE
sample103       13.300     -0.02354   0.03938   0.84890      0.000644   0.02154  -0.03964   0.01966   5.41143    28.52280  OK        CLOSE
sample1030      13.600     -0.01660   0.03938   0.84891      0.000644   0.02153  -0.03964   0.01965   5.41129    28.53050  OK        CLOSE
sample1031      14.400     -0.02410   0.03938   0.84882      0.000644   0.02155  -0.03968   0.01967   5.41156    28.52160  OK        CLOSE
sample1032      12.600     -0.02317   0.03938   0.84879      0.000643   0.02155  -0.03968   0.01965   5.41126    28.52410  OK        CLOSE
sample1033      13.100     -0.01567   0.03938   0.84888      0.000644   0.02152  -0.03965   0.01967   5.41153    28.53020  OK        CLOSE
sample1034      15.700     -0.01192   0.03938   0.84883      0.000644   0.02156  -0.03963   0.01966   5.41139    28.53470  OK        CLOSE
sample1035      12.800     -0.01942   0.03938   0.84892      0.000644   0.02154  -0.03966   0.01968   5.41167    28.52570  OK        CLOSE
sample1036      12.500     -0.02129   0.03938   0.84881      0.000645   0.02154  -0.03970   0.01966   5.41132    28.52570  OK        CLOSE
sample1037      13.500     -0.01379   0.03938   0.84890      0.000644   0.02156  -0.03966   0.01964   5.41160    28.53170  OK        CLOSE
sample1038      13.700     -0.01754   0.03938   0.84885      0.000644   0.02153  -0.03964   0.01967   5.41119    28.53010  OK        CLOSE
sample1039      14.400     -0.02504   0.03938   0.84894      0.000644   0.02155  -0.03968   0.01965   5.41146    28.52120  OK        CLOSE
sample104       12.700     -0.02260   0.03938   0.84893      0.000643   0.02154  -0.03964   0.01968   5.41140    28.52400  OK        CLOSE
sample1040      13.000     -0.02457   0.03938   0.84891      0.000644   0.02156  -0.03965   0.01964   5.41121    28.52300  OK        CLOSE
sample1041      12.800     -0.01707   0.03938   0.84883      0.000644   0.02154  -0.03969   0.01966   5.41148    28.52900  OK        CLOSE
sample1042      15.000     -0.01332   0.03938   0.84887      0.000643   0.02155  -0.03967   0.01965   5.41134    28.53350  OK        CLOSE
sample1043      12.900     -0.02082   0.03938   0.84879      0.000644   0.02153  -0.03963   0.01967   5.41161    28.52460  OK        CLOSE
sample1044      12.600     -0.01895   0.03938   0.84893      0.000644   0.02152  -0.03966   0.01967   5.41141    28.52750  OK        CLOSE
sample1045      14.100     -0.01145   0.03938   0.84885      0.000644   0.02155  -0.03970   0.01965   5.41168    28.53360  OK        CLOSE
sample1046      14.300     -0.01520   0.03938   0.84889      0.000645   0.02153  -0.03968   0.01968   5.41128    28.53200  OK        CLOSE
sample1047      13.400     -0.02270   0.03938   0.84881      0.000644   0.02156  -0.03964   0.01966   5.41155    28.52310  OK        CLOSE
sample1048      12.900     -0.02363   0.03938   0.84886      0.000644   0.02156  -0.03965   0.01968   5.41131    28.52340  OK        CLOSE
sample1049      12.900     -0.01613   0.03938   0.84894      0.000644   0.02154  -0.03969   0.01966   5.41158    28.52940  OK        CLOSE
sample105       13.000     -0.01510   0.03938   0.84885      0.000644   0.02156  -0.03968   0.01966   5.41167    28.53000  OK        CLOSE
sample1050      17.300     -0.01238   0.03938   0.84882      0.000644   0.02155  -0.03967   0.01967   5.41117    28.53540  OK        CLOSE
sample1051      12.600     -0.01988   0.03938   0.84890      0.000643   0.02153  -0.03963   0.01965   5.41144    28.52640  OK        CLOSE
sample1052      12.500     -0.02176   0.03938   0.84884      0.000644   0.02153  -0.03966   0.01965   5.41124    28.52560  OK        CLOSE
sample1053      13.700     -0.01426   0.03938   0.84892      0.000644   0.02155  -0.03970   0.01967   5.41151    28.53170  OK        CLOSE
sample1054      12.800     -0.01801   0.03938   0.84880      0.000644   0.02154  -0.03968   0.01964   5.41138    28.52870  OK        CLOSE
sample1055      16.200     -0.02551   0.03938   0.84888      0.000644   0.02156  -0.03964   0.01966   5.41165    28.51970  OK        CLOSE
sample1056      13.300     -0.02527   0.03938   0.84881      0.000644   0.02153  -0.03967   0.01966   5.41123    28.52220  OK        CLOSE
sample1057      12.700     -0.01777   0.03938   0.84889      0.000644   0.02155  -0.03963   0.01968   5.41150    28.52820  OK        CLOSE
sample1058      14.400     -0.01402   0.03938   0.84885      0.000645   0.02154  -0.03965   0.01965   5.41137    28.53270  OK        CLOSE
sample1059      13.300     -0.02152   0.03938   0.84894      0.000644   0.02156  -0.03969   0.01967   5.41164    28.52370  OK        CLOSE
sample106       17.400     -0.01135   0.03938   0.84889      0.000644   0.02152  -0.03970   0.01967   5.41126    28.53590  OK        CLOSE
sample1060      12.600     -0.01965   0.03938   0.84879      0.000644   0.02157  -0.03968   0.01967   5.41130    28.52740  OK        CLOSE
sample1061      14.300     -0.01215   0.03938   0.84887      0.000644   0.02154  -0.03964   0.01965   5.41157    28.53350  OK        CLOSE
sample1062      14.500     -0.01590   0.03938   0.84883      0.000643   0.02156  -0.03966   0.01966   5.41117    28.53190  OK        CLOSE
sample1063      13.200     -0.02340   0.03938   0.84892      0.000644   0.02153  -0.03970   0.01964   5.41144    28.52290  OK        CLOSE
sample1064      12.700     -0.02246   0.03938   0.84886      0.000644   0.02153  -0.03966   0.01966   5.41140    28.52410  OK        CLOSE
sample1065      13.000     -0.01496   0.03938   0.84878      0.000644   0.02155  -0.03962   0.01964   5.41167    28.53010  OK        CLOSE
sample1066      17.600     -0.01121   0.03938   0.84890      0.000644   0.02154  -0.03964   0.01967   5.41127    28.53600  OK        CLOSE
sample1067      12.600     -0.01871   0.03938   0.84882      0.000645   0.02156  -0.03968   0.01965   5.41154    28.52710  OK        CLOSE
sample1068      12.700     -0.02059   0.03938   0.84888      0.000644   0.02156  -0.03967   0.01965   5.41120    28.52700  OK        CLOSE
sample1069      14.400     -0.01309   0.03938   0.84880      0.000644   0.02154  -0.03963   0.01967   5.41147    28.53310  OK        CLOSE
sample107       12.600     -0.01885   0.03938   0.84880      0.000644   0.02155  -0.03966   0.01965   5.41153    28.52700  OK        CLOSE
sample1070      13.400     -0.01684   0.03938   0.84893      0.000644   0.02155  -0.03965   0.01966   5.41134    28.53010  OK        CLOSE
sample1071      14.900     -0.02434   0.03938   0.84884      0.000643   0.02153  -0.03969   0.01968   5.41160    28.52110  OK        CLOSE
sample1072      13.500     -0.02481   0.03938   0.84884      0.000644   0.02153  -0.03963   0.01966   5.41135    28.52200  OK        CLOSE
sample1073      12.700     -0.01731   0.03938   0.84892      0.000644   0.02156  -0.03967   0.01964   5.41162    28.52800  OK        CLOSE
sample1074      15.900     -0.01356   0.03938   0.84879      0.000644   0.02152  -0.03969   0.01968   5.41122    28.53400  OK        CLOSE
sample1075      12.600     -0.02106   0.03938   0.84888      0.000644   0.02155  -0.03965   0.01965   5.41149    28.52500  OK        CLOSE
sample1076      12.800     -0.01918   0.03938   0.84886      0.000644   0.02155  -0.03964   0.01964   5.41128    28.52800  OK        CLOSE
sample1077      14.600     -0.01168   0.03938   0.84894      0.000643   0.02153  -0.03968   0.01966   5.41155    28.53400  OK        CLOSE
sample1078      13.600     -0.01543   0.03938   0.84881      0.000644   0.02156  -0.03970   0.01965   5.41142    28.53100  OK        CLOSE
sample1079      14.600     -0.02293   0.03938   0.84890      0.000644   0.02154  -0.03966   0.01967   5.41169    28.52200  OK        CLOSE
sample108       12.600     -0.02073   0.03938   0.84891      0.000645   0.02155  -0.03963   0.01965   5.41119    28.52690  OK        CLOSE
sample1080      12.600     -0.02387   0.03938   0.84893      0.000645   0.02154  -0.03963   0.01965   5.41118    28.52380  OK        CLOSE
sample1081      13.100     -0.01637   0.03938   0.84885      0.000644   0.02157  -0.03967   0.01967   5.41145    28.52990  OK        CLOSE
sample1082      15.700     -0.01262   0.03938   0.84889      0.000644   0.02153  -0.03969   0.01964   5.41132    28.53440  OK        CLOSE
sample1083      12.700     -0.02012   0.03938   0.84880      0.000644   0.02155  -0.03965   0.01966   5.41159    28.52540  OK        CLOSE
sample1084      12.600     -0.02199   0.03938   0.84891      0.000643   0.02155  -0.03964   0.01968   5.41139    28.52460  OK        CLOSE
sample1085      13.100     -0.01449   0.03938   0.84883      0.000644   0.02153  -0.03968   0.01966   5.41166    28.53070  OK        CLOSE
sample1086      13.200     -0.01824   0.03938   0.84887      0.000644   0.02156  -0.03970   0.01967   5.41125    28.52910  OK        CLOSE
sample1087      15.300     -0.02574   0.03938   0.84878      0.000644   0.02154  -0.03966   0.01965   5.41152    28.52010  OK        CLOSE
sample1088      13.300     -0.02563   0.03938   0.84885      0.000644   0.02154  -0.03968   0.01966   5.41117    28.52220  OK        CLOSE
sample1089      12.700     -0.01813   0.03938   0.84893      0.000644   0.02156  -0.03964   0.01968   5.41144    28.52820  OK        CLOSE
sample109       14.300     -0.01323   0.03938   0.84882      0.000644   0.02153  -0.03967   0.01967   5.41146    28.53300  OK        CLOSE
sample1090      14.600     -0.01438   0.03938   0.84880      0.000644   0.02153  -0.03966   0.01965   5.41130    28.53270  OK        CLOSE
sample1091      13.100     -0.02188   0.03938   0.84889      0.000645   0.02155  -0.03970   0.01967   5.41158    28.52370  OK        CLOSE
sample1092      12.600     -0.02000   0.03938   0.84882      0.000644   0.02155  -0.03967   0.01967   5.41137    28.52670  OK        CLOSE
sample1093      13.800     -0.01250   0.03938   0.84891      0.000644   0.02152  -0.03963   0.01965   5.41164    28.53270  OK        CLOSE
sample1094      14.000     -0.01625   0.03938   0.84878      0.000644   0.02156  -0.03965   0.01966   5.41124    28.53120  OK        CLOSE
sample1095      13.800     -0.02375   0.03938   0.84887      0.000643   0.02153  -0.03969   0.01964   5.41151    28.52220  OK        CLOSE
sample1096      12.700     -0.02281   0.03938   0.84892      0.000644   0.02154  -0.03967   0.01966   5.41134    28.52410  OK        CLOSE
sample1097      13.000     -0.01531   0.03938   0.84883      0.000644   0.02156  -0.03963   0.01964   5.41161    28.53010  OK        CLOSE
sample1098      17.800     -0.01156   0.03938   0.84888      0.000645   0.02153  -0.03965   0.01967   5.41120    28.53600  OK        CLOSE
sample1099      12.600     -0.01906   0.03938   0.84879      0.000644   0.02155  -0.03969   0.01965   5.41147    28.52710  OK        CLOSE
sample11        12.600     -0.01944   0.03938   0.84885      0.000644   0.02156  -0.03965   0.01965   5.41146    28.52680  OK        CLOSE
sample110       13.300     -0.01698   0.03938   0.84887      0.000644   0.02156  -0.03969   0.01964   5.41133    28.52990  OK        CLOSE
sample1100      12.500     -0.02094   0.03938   0.84894      0.000644   0.02155  -0.03966   0.01965   5.41127    28.52630  OK        CLOSE
sample1101      13.900     -0.01344   0.03938   0.84886      0.000644   0.02153  -0.03962   0.01967   5.41154    28.53230  OK        CLOSE
sample1102      13.000     -0.01719   0.03938   0.84890      0.000643   0.02157  -0.03964   0.01966   5.41141    28.52930  OK        CLOSE
sample1103      15.800     -0.02469   0.03938   0.84881      0.000644   0.02154  -0.03968   0.01968   5.41168    28.52040  OK        CLOSE
