
# Explanation:
#   SampleID: unique folder name for each sample.
#   Rwp(%)   : final Rwp in percent (Bragg-Only, Conventional line).
#   ZeroShift: final zero shift (degrees).
#   Biso_O1  : isotropic displacement parameter for atom O1.
#   Biso_O2  : isotropic displacement parameter for atom O2.
#   Biso_O3  : isotropic displacement parameter for atom O3.
#   Biso_Pb  : isotropic displacement parameter for atom Pb.
#   Biso_S  : isotropic displacement parameter for atom S.
#   Scale    : final scale factor.
#   U, V, W  : final peak shape parameters.
#   a, b, c  : orthorhombic lattice parameters (Å).
#   Status   : parse result from .out (OK, NO_OUT, NEG_BISO, etc.).
#   Class    : classification label [CLOSE, BOUNDARY, INVALID].
#   FirstBragg: first bragg peak 2theta from .prf

Run: 1
DateTime: 2025-05-05_13-38-19
Crystal Structure: orthorhombic
# If 'sample1' is found, we define reference_rwp = that sample's Rwp => Rref.
# Reference Rwp (Rref) from sample1 => 7.370
# Thresholds => Close < (Rref+10), Boundary < (Rref+20), else Invalid.
# SampleID        Rwp(%)    ZeroShift    Biso_O1  Biso_O2  Biso_O3  Biso_Pb  Biso_S  Scale      U        V        W       a        b        c      FirstBragg   Status     Class
sample1          7.370     -0.08796   1.98971   1.46860   1.31858   1.41333   0.41847      1.480409   0.15562  -0.45592   0.41911   8.47884  5.39673  6.95840    20.38730  OK        CLOSE
sample10        14.800     -0.04421   1.98983   1.46866   1.31856   1.41328   0.41846      1.481650   0.15576  -0.45553   0.41937   8.47810  5.39680  6.95901    20.43070  OK        CLOSE
sample100        7.570     -0.09655   1.98951   1.46867   1.31859   1.41330   0.41848      1.480691   0.15577  -0.45555   0.41944   8.47843  5.39652  6.95837    20.37920  OK        CLOSE
sample1000      10.700     -0.11599   1.98952   1.46864   1.31865   1.41328   0.41848      1.480189   0.15576  -0.45565   0.41913   8.47816  5.39678  6.95834    20.36000  OK        CLOSE
sample10000      9.190     -0.10556   1.98984   1.46856   1.31858   1.41320   0.41848      1.480952   0.15572  -0.45611   0.41881   8.47834  5.39658  6.95889    20.36930  OK        CLOSE
sample1001      10.100     -0.06599   1.98972   1.46849   1.31851   1.41342   0.41844      1.481670   0.15560  -0.45610   0.41871   8.47900  5.39624  6.95904    20.40800  OK        CLOSE
sample1002      16.900     -0.04099   1.98982   1.46872   1.31858   1.41335   0.41850      1.480929   0.15568  -0.45633   0.41934   8.47858  5.39651  6.95799    20.43520  OK        CLOSE
sample1003       8.000     -0.09099   1.98962   1.46857   1.31845   1.41321   0.41846      1.479022   0.15552  -0.45587   0.41892   8.47943  5.39705  6.95869    20.38320  OK        CLOSE
sample1004       8.400     -0.10349   1.98957   1.46846   1.31868   1.41339   0.41845      1.481300   0.15564  -0.45599   0.41924   8.47879  5.39638  6.95817    20.37220  OK        CLOSE
sample1005      11.300     -0.05349   1.98977   1.46860   1.31855   1.41325   0.41849      1.479819   0.15548  -0.45553   0.41882   8.47964  5.39692  6.95886    20.42010  OK        CLOSE
sample1006       8.380     -0.07849   1.98987   1.46853   1.31861   1.41332   0.41843      1.480559   0.15572  -0.45576   0.41945   8.47837  5.39719  6.95782    20.39820  OK        CLOSE
sample1007      14.800     -0.12849   1.98967   1.46868   1.31848   1.41346   0.41847      1.482040   0.15556  -0.45621   0.41903   8.47922  5.39665  6.95852    20.34620  OK        CLOSE
sample1008      14.000     -0.13161   1.98976   1.46861   1.31851   1.41335   0.41849      1.479726   0.15553  -0.45567   0.41937   8.47832  5.39621  6.95864    20.34370  OK        CLOSE
sample1009       7.890     -0.08161   1.98956   1.46847   1.31864   1.41320   0.41845      1.480140   0.15569  -0.45613   0.41895   8.47916  5.39675  6.95795    20.39410  OK        CLOSE
sample101       12.700     -0.04655   1.98971   1.46852   1.31846   1.41344   0.41844      1.479822   0.15561  -0.45600   0.41902   8.47928  5.39706  6.95906    20.42710  OK        CLOSE
sample1010      11.000     -0.05661   1.98966   1.46869   1.31857   1.41327   0.41847      1.481947   0.15561  -0.45636   0.41916   8.47874  5.39702  6.95899    20.41770  OK        CLOSE
sample1011       9.790     -0.10661   1.98985   1.46854   1.31870   1.41342   0.41843      1.480467   0.15577  -0.45590   0.41874   8.47959  5.39648  6.95830    20.36810  OK        CLOSE
sample1012       7.580     -0.09411   1.98981   1.46850   1.31847   1.41331   0.41844      1.480717   0.15557  -0.45602   0.41947   8.47853  5.39688  6.95847    20.38130  OK        CLOSE
sample1013      16.000     -0.04411   1.98961   1.46865   1.31860   1.41345   0.41848      1.480096   0.15573  -0.45556   0.41905   8.47937  5.39634  6.95778    20.43170  OK        CLOSE
sample1014       9.780     -0.06911   1.98971   1.46858   1.31854   1.41338   0.41846      1.479356   0.15549  -0.45579   0.41926   8.47810  5.39661  6.95882    20.40610  OK        CLOSE
sample1015      12.600     -0.11911   1.98990   1.46872   1.31867   1.41324   0.41850      1.480837   0.15565  -0.45624   0.41884   8.47895  5.39715  6.95812    20.35650  OK        CLOSE
sample1016      12.400     -0.12536   1.98973   1.46860   1.31846   1.41322   0.41851      1.479911   0.15563  -0.45630   0.41900   8.47863  5.39655  6.95786    20.35100  OK        CLOSE
sample1017       7.900     -0.07536   1.98953   1.46874   1.31859   1.41336   0.41847      1.480285   0.15547  -0.45585   0.41942   8.47948  5.39708  6.95856    20.39900  OK        CLOSE
sample1018      14.200     -0.05036   1.98963   1.46852   1.31852   1.41343   0.41849      1.482132   0.15571  -0.45562   0.41879   8.47821  5.39682  6.95821    20.42580  OK        CLOSE
sample1019       8.680     -0.10036   1.98983   1.46867   1.31865   1.41329   0.41844      1.480652   0.15555  -0.45607   0.41921   8.47906  5.39628  6.95891    20.37380  OK        CLOSE
sample102        9.930     -0.07155   1.98981   1.46874   1.31866   1.41337   0.41850      1.480562   0.15569  -0.45623   0.41923   8.47800  5.39679  6.95802    20.40520  OK        CLOSE
sample1020      10.300     -0.11286   1.98978   1.46871   1.31849   1.41347   0.41843      1.481762   0.15575  -0.45573   0.41910   8.47800  5.39722  6.95804    20.36390  OK        CLOSE
sample1021      10.400     -0.06286   1.98958   1.46856   1.31862   1.41333   0.41848      1.480281   0.15559  -0.45619   0.41952   8.47884  5.39668  6.95873    20.41180  OK        CLOSE
sample1022       7.540     -0.08786   1.98968   1.46863   1.31856   1.41326   0.41845      1.479716   0.15567  -0.45596   0.41890   8.47842  5.39641  6.95838    20.38780  OK        CLOSE
sample1023      18.500     -0.13786   1.98988   1.46849   1.31869   1.41340   0.41850      1.481022   0.15551  -0.45550   0.41931   8.47927  5.39695  6.95908    20.33570  OK        BOUNDARY
sample1024      17.400     -0.13781   1.98985   1.46870   1.31853   1.41336   0.41849      1.481972   0.15576  -0.45634   0.41895   8.47863  5.39708  6.95861    20.33720  OK        BOUNDARY
sample1025       7.620     -0.08781   1.98965   1.46855   1.31866   1.41322   0.41845      1.480010   0.15560  -0.45589   0.41937   8.47948  5.39654  6.95792    20.38770  OK        CLOSE
sample1026      11.400     -0.06281   1.98955   1.46862   1.31846   1.41329   0.41851      1.479751   0.15568  -0.45566   0.41874   8.47821  5.39627  6.95896    20.41200  OK        CLOSE
sample1027      10.900     -0.11281   1.98975   1.46848   1.31860   1.41343   0.41847      1.481232   0.15552  -0.45611   0.41916   8.47905  5.39681  6.95827    20.36250  OK        CLOSE
sample1028       7.890     -0.10031   1.98990   1.46859   1.31856   1.41333   0.41846      1.479339   0.15564  -0.45577   0.41906   8.47800  5.39668  6.95844    20.37570  OK        CLOSE
sample1029      13.500     -0.05031   1.98970   1.46873   1.31870   1.41347   0.41850      1.480861   0.15549  -0.45623   0.41948   8.47884  5.39721  6.95775    20.42610  OK        CLOSE
sample103       12.300     -0.12155   1.98961   1.46860   1.31852   1.41323   0.41846      1.482043   0.15554  -0.45577   0.41881   8.47885  5.39625  6.95871    20.35310  OK        CLOSE
sample1030       8.290     -0.07531   1.98960   1.46851   1.31850   1.41340   0.41844      1.481602   0.15572  -0.45600   0.41885   8.47842  5.39694  6.95879    20.39960  OK        CLOSE
sample1031      13.100     -0.12531   1.98980   1.46866   1.31863   1.41326   0.41848      1.480121   0.15556  -0.45554   0.41927   8.47927  5.39640  6.95809    20.35010  OK        CLOSE
sample1032      10.900     -0.11906   1.98982   1.46849   1.31858   1.41320   0.41847      1.482157   0.15554  -0.45560   0.41932   8.47831  5.39674  6.95783    20.35770  OK        CLOSE
sample1033       9.950     -0.06906   1.98962   1.46864   1.31871   1.41334   0.41843      1.480676   0.15570  -0.45606   0.41890   8.47916  5.39620  6.95853    20.40560  OK        CLOSE
sample1034      15.900     -0.04406   1.98952   1.46857   1.31851   1.41341   0.41849      1.479936   0.15547  -0.45628   0.41911   8.47874  5.39647  6.95818    20.43170  OK        CLOSE
sample1035       8.660     -0.09406   1.98972   1.46872   1.31865   1.41327   0.41845      1.481417   0.15562  -0.45583   0.41869   8.47958  5.39701  6.95888    20.37960  OK        CLOSE
sample1036       8.520     -0.10656   1.98987   1.46861   1.31855   1.41345   0.41846      1.479566   0.15551  -0.45594   0.41943   8.47852  5.39634  6.95801    20.36970  OK        CLOSE
sample1037      11.100     -0.05656   1.98967   1.46846   1.31868   1.41331   0.41850      1.481047   0.15566  -0.45549   0.41901   8.47937  5.39688  6.95870    20.41760  OK        CLOSE
sample1038       7.860     -0.08156   1.98957   1.46868   1.31848   1.41324   0.41844      1.480841   0.15558  -0.45571   0.41922   8.47810  5.39715  6.95835    20.39450  OK        CLOSE
sample1039      15.900     -0.13156   1.98977   1.46853   1.31861   1.41338   0.41848      1.480306   0.15574  -0.45617   0.41880   8.47895  5.39661  6.95905    20.34240  OK        CLOSE
sample104       12.300     -0.11530   1.98959   1.46873   1.31861   1.41321   0.41845      1.480007   0.15552  -0.45583   0.41897   8.47875  5.39699  6.95898    20.35900  OK        CLOSE
sample1040      13.300     -0.12844   1.98966   1.46847   1.31859   1.41342   0.41850      1.480769   0.15565  -0.45563   0.41914   8.47815  5.39623  6.95883    20.34670  OK        CLOSE
sample1041       8.140     -0.07844   1.98986   1.46861   1.31846   1.41328   0.41846      1.478826   0.15550  -0.45609   0.41872   8.47900  5.39677  6.95814    20.39710  OK        CLOSE
sample1042      12.400     -0.05344   1.98976   1.46854   1.31865   1.41321   0.41848      1.480029   0.15573  -0.45631   0.41935   8.47858  5.39705  6.95848    20.42190  OK        CLOSE
