# 2-Theta   Intensity
24.9743   32.0
24.9993   39.0
25.0243   32.0
25.0493   32.0
25.0743   32.0
25.0993   28.0
25.1243   38.0
25.1493   36.0
25.1743   53.0
25.1993   31.0
25.2243   40.0
25.2493   38.0
25.2743   43.0
25.2993   47.0
25.3243   38.0
25.3493   34.0
25.3743   31.0
25.3993   34.0
25.4243   31.0
25.4493   36.0
25.4743   27.0
25.4993   44.0
25.5243   38.0
25.5493   37.0
25.5743   36.0
25.5993   31.0
25.6243   38.0
25.6493   42.0
25.6743   37.0
25.6993   60.0
25.7243   59.0
25.7493   77.0
25.7743   60.0
25.7993   51.0
25.8243   50.0
25.8493   44.0
25.8743   42.0
25.8993   32.0
25.9243   38.0
25.9493   38.0
25.9743   32.0
25.9993   32.0
26.0243   32.0
26.0493   31.0
26.0743   43.0
26.0993   33.0
26.1243   37.0
26.1493   31.0
26.1743   33.0
26.1993   43.0
26.2243   42.0
26.2493   46.0
26.2743   37.0
26.2993   26.0
26.3243   31.0
26.3493   39.0
26.3743   46.0
26.3993   38.0
26.4243   32.0
26.4493   29.0
26.4743   37.0
26.4993   38.0
26.5243   30.0
26.5493   42.0
26.5743   25.0
26.5993   30.0
26.6243   29.0
26.6493   34.0
26.6743   37.0
26.6993   43.0
26.7243   32.0
26.7493   28.0
26.7743   32.0
26.7993   29.0
26.8243   50.0
26.8493   29.0
26.8743   33.0
26.8993   43.0
26.9243   31.0
26.9493   42.0
26.9743   33.0
26.9993   42.0
27.0243   27.0
27.0493   39.0
27.0743   26.0
27.0993   24.0
27.1243   38.0
27.1493   24.0
27.1743   43.0
27.1993   32.0
27.2243   50.0
27.2493   43.0
27.2743   31.0
27.2993   42.0
27.3243   54.0
27.3493   37.0
27.3743   37.0
27.3993   51.0
27.4243   43.0
27.4493   28.0
27.4743   38.0
27.4993   44.0
27.5243   34.0
27.5493   47.0
27.5743   50.0
27.5993   56.0
27.6243   40.0
27.6493   47.0
27.6743   53.0
27.6993   60.0
27.7243   50.0
27.7493   53.0
27.7743   57.0
27.7993   56.0
27.8243   65.0
27.8493   56.0
27.8743   70.0
27.8993   86.0
27.9243   72.0
27.9493   94.0
27.9743   88.0
27.9993   92.0
28.0243   108.0
28.0493   118.0
28.0743   129.0
28.0993   144.0
28.1243   187.0
28.1493   187.0
28.1743   278.0
28.1993   275.0
28.2243   331.0
28.2493   424.0
28.2743   556.0
28.2993   655.0
28.3243   936.0
28.3493   1274.0
28.3743   1866.0
28.3993   2735.0
28.4243   3745.0
28.4493   5610.0
28.4743   8519.0
28.4993   13665.0
28.5243   22530.0
28.5493   28459.0
28.5743   23994.0
28.5993   17397.0
28.6243   13665.0
28.6493   8611.0
28.6743   3540.0
28.6993   1239.0
28.7243   739.0
28.7493   552.0
28.7743   453.0
28.7993   380.0
28.8243   349.0
28.8493   299.0
28.8743   219.0
28.8993   184.0
28.9243   174.0
28.9493   151.0
28.9743   116.0
28.9993   104.0
29.0243   104.0
29.0493   96.0
29.0743   82.0
29.0993   60.0
29.1243   62.0
29.1493   67.0
