# SHAP Beeswarm Plot Raw Data
# Generated: 2025-05-13 10:38:14

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Biso ce_SHAP,Biso ce_Value,Biso o_SHAP,Biso o_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
0,-0.001131,-0.014480,0.001022,5.411541,0.000046,0.039380,0.000058,0.848900,-0.001371,0.000644,-0.001713,0.021557,0.003152,-0.039653,-0.001561,0.019659
1,-0.001436,-0.018180,0.001265,5.411407,0.001448,0.039380,0.003046,0.848790,0.000985,0.000644,-0.000173,0.021545,0.000313,-0.039665,-0.000159,0.019642
2,0.000298,-0.015070,-0.000047,5.411505,-0.000404,0.039380,-0.000842,0.848940,0.000426,0.000644,0.000286,0.021540,-0.000456,-0.039702,0.000269,0.019656
3,-0.000149,-0.012910,-0.000066,5.411390,-0.001452,0.039380,-0.003132,0.848810,-0.001148,0.000644,0.000482,0.021544,-0.000950,-0.039626,0.000428,0.019670
4,-0.000154,-0.012830,0.000406,5.411318,0.000185,0.039380,0.000450,0.848780,0.001036,0.000644,0.000002,0.021539,0.000070,-0.039678,0.000013,0.019642
5,0.000318,-0.017660,-0.000887,5.411318,-0.000991,0.039380,-0.002126,0.848840,-0.000701,0.000643,-0.000701,0.021544,0.001317,-0.039702,-0.000639,0.019643
6,0.000494,-0.017550,0.001690,5.411688,0.000796,0.039380,0.001757,0.848880,0.001394,0.000644,0.001050,0.021535,-0.001876,-0.039650,0.000965,0.019666
7,0.000267,-0.018250,0.000373,5.411450,0.000726,0.039380,0.001555,0.848920,0.001220,0.000644,0.000139,0.021538,-0.000195,-0.039657,0.000133,0.019650
8,-0.000179,-0.020920,0.000146,5.411181,-0.000163,0.039380,-0.000328,0.848800,-0.000085,0.000644,-0.000062,0.021554,0.000133,-0.039694,-0.000056,0.019652
9,-0.000521,-0.023980,0.000853,5.411552,0.000539,0.039380,0.001210,0.848870,-0.000323,0.000644,-0.000117,0.021560,0.000154,-0.039684,-0.000113,0.019668
10,0.000924,-0.013650,0.000682,5.411159,0.000183,0.039380,0.000415,0.848780,0.000559,0.000644,0.000457,0.021560,-0.000844,-0.039668,0.000416,0.019657
11,-0.000911,-0.018130,-0.000435,5.411380,0.000685,0.039380,0.001475,0.848860,-0.000085,0.000644,-0.000309,0.021544,0.000638,-0.039703,-0.000277,0.019649
12,-0.000714,-0.019620,-0.001175,5.411217,0.000965,0.039380,0.002024,0.848840,-0.001019,0.000644,-0.001000,0.021534,0.001851,-0.039634,-0.000909,0.019645
13,-0.000190,-0.014220,-0.000016,5.411356,0.000491,0.039380,0.000970,0.848880,0.000177,0.000644,-0.000052,0.021528,0.000110,-0.039690,-0.000042,0.019658
14,-0.000247,-0.017660,-0.001608,5.411257,-0.000168,0.039380,-0.000339,0.848900,-0.000952,0.000644,-0.001165,0.021547,0.002107,-0.039643,-0.001071,0.019647
15,0.001181,-0.021180,0.000921,5.411364,-0.000245,0.039380,-0.000510,0.848800,0.000107,0.000644,0.000774,0.021558,-0.001444,-0.039657,0.000706,0.019676
16,0.000368,-0.025620,0.001114,5.411697,0.000236,0.039380,0.000546,0.848940,0.000554,0.000645,-0.000425,0.021551,0.000765,-0.039649,-0.000388,0.019666
17,0.000471,-0.020500,0.000564,5.411601,0.000190,0.039380,0.000450,0.848810,0.000493,0.000644,0.000054,0.021559,-0.000105,-0.039695,0.000047,0.019655
18,0.000896,-0.011460,0.000486,5.411519,0.000174,0.039380,0.000383,0.848910,0.000227,0.000644,0.000426,0.021555,-0.000839,-0.039661,0.000386,0.019665
19,0.001602,-0.015470,0.001098,5.411413,-0.000091,0.039380,-0.000184,0.848930,-0.000173,0.000644,0.000103,0.021556,-0.000238,-0.039663,0.000092,0.019665
20,-0.000277,-0.025740,-0.000811,5.411170,-0.001346,0.039380,-0.002910,0.848870,-0.000480,0.000644,-0.001561,0.021562,0.002850,-0.039635,-0.001429,0.019679
21,0.001604,-0.025300,-0.001317,5.411652,-0.001116,0.039380,-0.002432,0.848790,-0.000828,0.000644,-0.000166,0.021537,0.000273,-0.039687,-0.000150,0.019657
22,0.000376,-0.024690,0.001834,5.411324,-0.000184,0.039380,-0.000369,0.848830,-0.000271,0.000644,0.000321,0.021550,-0.000581,-0.039697,0.000295,0.019679
23,0.000715,-0.019410,-0.000813,5.411579,-0.001891,0.039380,-0.004070,0.848910,-0.002820,0.000644,0.000026,0.021562,-0.000059,-0.039663,0.000020,0.019641
24,-0.000310,-0.020930,0.000117,5.411479,-0.000595,0.039380,-0.001323,0.848940,0.000920,0.000644,0.000610,0.021532,-0.001081,-0.039641,0.000560,0.019650
25,0.000967,-0.015630,-0.001654,5.411661,-0.000749,0.039380,-0.001591,0.848890,-0.001817,0.000644,-0.000449,0.021545,0.000837,-0.039629,-0.000408,0.019651
26,0.000088,-0.015700,0.000038,5.411608,0.000058,0.039380,0.000120,0.848890,0.000553,0.000644,0.000250,0.021553,-0.000429,-0.039689,0.000231,0.019663
27,0.000741,-0.011750,0.000231,5.411438,-0.000308,0.039380,-0.000674,0.848940,0.000208,0.000644,0.000194,0.021558,-0.000387,-0.039646,0.000176,0.019672
28,0.000475,-0.021840,0.000235,5.411573,-0.000501,0.039380,-0.001148,0.848780,0.001148,0.000644,-0.000390,0.021557,0.000707,-0.039644,-0.000355,0.019677
29,0.000720,-0.015020,-0.001874,5.411302,-0.000921,0.039380,-0.001990,0.848890,-0.001459,0.000644,-0.000546,0.021556,0.000976,-0.039636,-0.000503,0.019652
30,-0.001370,-0.018930,0.001748,5.411318,0.001257,0.039380,0.002743,0.848810,0.003094,0.000644,0.000015,0.021548,-0.000093,-0.039631,0.000006,0.019674
31,-0.000930,-0.022890,0.000305,5.411366,0.002040,0.039380,0.004396,0.848890,-0.001164,0.000645,0.000349,0.021563,-0.000555,-0.039661,0.000324,0.019642
32,0.000304,-0.022820,-0.000280,5.411291,-0.000341,0.039380,-0.000723,0.848800,-0.000255,0.000645,0.000429,0.021542,-0.000833,-0.039695,0.000387,0.019676
33,0.000599,-0.023660,0.001086,5.411572,-0.000103,0.039380,-0.000223,0.848930,0.000143,0.000644,-0.000102,0.021558,0.000153,-0.039656,-0.000096,0.019653
34,0.000684,-0.018500,0.000124,5.411383,0.000286,0.039380,0.000623,0.848840,-0.000274,0.000644,0.000342,0.021563,-0.000640,-0.039672,0.000311,0.019667
35,-0.000304,-0.011460,-0.001017,5.411580,-0.000336,0.039380,-0.000726,0.848890,-0.000606,0.000644,0.000706,0.021552,-0.001321,-0.039668,0.000638,0.019643
36,-0.001860,-0.020880,0.000378,5.411652,-0.000590,0.039380,-0.001382,0.848920,0.001439,0.000644,0.000827,0.021548,-0.001504,-0.039683,0.000752,0.019646
37,-0.001659,-0.012830,0.000554,5.411175,0.000233,0.039380,0.000542,0.848930,0.001248,0.000644,-0.001144,0.021551,0.002043,-0.039669,-0.001051,0.019666
38,-0.000420,-0.020020,-0.000001,5.411181,0.000168,0.039380,0.000390,0.848830,0.000018,0.000644,-0.000057,0.021562,0.000091,-0.039666,-0.000052,0.019664
39,-0.000072,-0.017270,0.000281,5.411453,0.000765,0.039380,0.001679,0.848810,-0.000295,0.000644,0.000274,0.021563,-0.000519,-0.039687,0.000249,0.019650
