# SHAP Dependence Plot Data for Biso o
# Generated: 2025-05-13 10:38:14
# Colored by: Scale

# Biso o_Value,SHAP_Impact,Scale_Value
0.848900,0.000058,0.000644
0.848790,0.003046,0.000644
0.848940,-0.000842,0.000644
0.848810,-0.003132,0.000644
0.848780,0.000450,0.000644
0.848840,-0.002126,0.000643
0.848880,0.001757,0.000644
0.848920,0.001555,0.000644
0.848800,-0.000328,0.000644
0.848870,0.001210,0.000644
0.848780,0.000415,0.000644
0.848860,0.001475,0.000644
0.848840,0.002024,0.000644
0.848880,0.000970,0.000644
0.848900,-0.000339,0.000644
0.848800,-0.000510,0.000644
0.848940,0.000546,0.000645
0.848810,0.000450,0.000644
0.848910,0.000383,0.000644
0.848930,-0.000184,0.000644
0.848870,-0.002910,0.000644
0.848790,-0.002432,0.000644
0.848830,-0.000369,0.000644
0.848910,-0.004070,0.000644
0.848940,-0.001323,0.000644
0.848890,-0.001591,0.000644
0.848890,0.000120,0.000644
0.848940,-0.000674,0.000644
0.848780,-0.001148,0.000644
0.848890,-0.001990,0.000644
0.848810,0.002743,0.000644
0.848890,0.004396,0.000645
0.848800,-0.000723,0.000645
0.848930,-0.000223,0.000644
0.848840,0.000623,0.000644
0.848890,-0.000726,0.000644
0.848920,-0.001382,0.000644
0.848930,0.000542,0.000644
0.848830,0.000390,0.000644
0.848810,0.001679,0.000644
0.848910,-0.001079,0.000644
0.848900,0.005080,0.000643
0.848840,-0.000197,0.000645
0.848940,0.001642,0.000644
0.848810,0.002309,0.000644
0.848830,0.000507,0.000644
0.848790,-0.001020,0.000644
0.848840,0.000879,0.000644
0.848800,-0.000271,0.000644
0.848890,0.001105,0.000644
