# SHAP Dependence Plot Data for Scale
# Generated: 2025-05-13 10:38:14
# Colored by: Biso o

# Scale_Value,SHAP_Impact,Biso o_Value
0.000644,-0.001371,0.848900
0.000644,0.000985,0.848790
0.000644,0.000426,0.848940
0.000644,-0.001148,0.848810
0.000644,0.001036,0.848780
0.000643,-0.000701,0.848840
0.000644,0.001394,0.848880
0.000644,0.001220,0.848920
0.000644,-0.000085,0.848800
0.000644,-0.000323,0.848870
0.000644,0.000559,0.848780
0.000644,-0.000085,0.848860
0.000644,-0.001019,0.848840
0.000644,0.000177,0.848880
0.000644,-0.000952,0.848900
0.000644,0.000107,0.848800
0.000645,0.000554,0.848940
0.000644,0.000493,0.848810
0.000644,0.000227,0.848910
0.000644,-0.000173,0.848930
0.000644,-0.000480,0.848870
0.000644,-0.000828,0.848790
0.000644,-0.000271,0.848830
0.000644,-0.002820,0.848910
0.000644,0.000920,0.848940
0.000644,-0.001817,0.848890
0.000644,0.000553,0.848890
0.000644,0.000208,0.848940
0.000644,0.001148,0.848780
0.000644,-0.001459,0.848890
0.000644,0.003094,0.848810
0.000645,-0.001164,0.848890
0.000645,-0.000255,0.848800
0.000644,0.000143,0.848930
0.000644,-0.000274,0.848840
0.000644,-0.000606,0.848890
0.000644,0.001439,0.848920
0.000644,0.001248,0.848930
0.000644,0.000018,0.848830
0.000644,-0.000295,0.848810
0.000644,-0.000382,0.848910
0.000643,0.000810,0.848900
0.000645,0.001046,0.848840
0.000644,0.001074,0.848940
0.000644,-0.000872,0.848810
0.000644,0.000842,0.848830
0.000644,-0.001648,0.848790
0.000644,0.000994,0.848840
0.000644,-0.001499,0.848800
0.000644,0.000712,0.848890
