# SHAP Dependence Plot Data for V
# Generated: 2025-05-13 10:38:14
# Colored by: Biso o

# V_Value,SHAP_Impact,Biso o_Value
-0.039653,0.003152,0.848900
-0.039665,0.000313,0.848790
-0.039702,-0.000456,0.848940
-0.039626,-0.000950,0.848810
-0.039678,0.000070,0.848780
-0.039702,0.001317,0.848840
-0.039650,-0.001876,0.848880
-0.039657,-0.000195,0.848920
-0.039694,0.000133,0.848800
-0.039684,0.000154,0.848870
-0.039668,-0.000844,0.848780
-0.039703,0.000638,0.848860
-0.039634,0.001851,0.848840
-0.039690,0.000110,0.848880
-0.039643,0.002107,0.848900
-0.039657,-0.001444,0.848800
-0.039649,0.000765,0.848940
-0.039695,-0.000105,0.848810
-0.039661,-0.000839,0.848910
-0.039663,-0.000238,0.848930
-0.039635,0.002850,0.848870
-0.039687,0.000273,0.848790
-0.039697,-0.000581,0.848830
-0.039663,-0.000059,0.848910
-0.039641,-0.001081,0.848940
-0.039629,0.000837,0.848890
-0.039689,-0.000429,0.848890
-0.039646,-0.000387,0.848940
-0.039644,0.000707,0.848780
-0.039636,0.000976,0.848890
-0.039631,-0.000093,0.848810
-0.039661,-0.000555,0.848890
-0.039695,-0.000833,0.848800
-0.039656,0.000153,0.848930
-0.039672,-0.000640,0.848840
-0.039668,-0.001321,0.848890
-0.039683,-0.001504,0.848920
-0.039669,0.002043,0.848930
-0.039666,0.000091,0.848830
-0.039687,-0.000519,0.848810
-0.039672,-0.000027,0.848910
-0.039668,0.001966,0.848900
-0.039688,-0.000361,0.848840
-0.039674,-0.000694,0.848940
-0.039663,0.000085,0.848810
-0.039635,0.000892,0.848830
-0.039628,0.000129,0.848790
-0.039680,0.001033,0.848840
-0.039642,-0.001097,0.848800
-0.039682,-0.001032,0.848890
