# Parameter Correlation Matrix
# Generated: 2025-05-07 01:56:55

Parameter,Zero,Lattice a,Lattice b,Lattice c,Biso o1,Biso o2,Biso o3,Biso pb,Biso s,Scale,U,V,W
Zero,1.000000,-0.105764,-0.041170,-0.080410,-0.183945,-0.118992,0.014328,0.015414,-0.115740,0.008300,-0.186199,0.391278,0.012417
Lattice a,-0.105764,1.000000,0.143183,0.296081,-0.082711,-0.021173,0.175236,0.111733,0.075123,-0.167646,0.123838,-0.280468,-0.213208
Lattice b,-0.041170,0.143183,1.000000,0.148146,0.075060,0.131120,-0.202547,-0.291118,0.119174,0.423988,0.115586,-0.268365,-0.090552
Lattice c,-0.080410,0.296081,0.148146,1.000000,-0.074195,-0.206165,0.006783,0.161899,-0.240177,0.019726,-0.182377,-0.294142,-0.268395
Biso o1,-0.183945,-0.082711,0.075060,-0.074195,1.000000,0.088457,-0.020054,-0.244403,0.073007,-0.036312,0.299696,-0.203563,0.239841
Biso o2,-0.118992,-0.021173,0.131120,-0.206165,0.088457,1.000000,-0.226970,-0.053524,0.282380,0.028864,0.078386,0.007603,0.062460
Biso o3,0.014328,0.175236,-0.202547,0.006783,-0.020054,-0.226970,1.000000,0.074599,-0.096934,0.007039,-0.054785,0.182999,-0.005259
Biso pb,0.015414,0.111733,-0.291118,0.161899,-0.244403,-0.053524,0.074599,1.000000,-0.055339,-0.184961,0.169252,0.041677,0.114686
Biso s,-0.115740,0.075123,0.119174,-0.240177,0.073007,0.282380,-0.096934,-0.055339,1.000000,-0.103215,0.023561,-0.178003,-0.148009
Scale,0.008300,-0.167646,0.423988,0.019726,-0.036312,0.028864,0.007039,-0.184961,-0.103215,1.000000,-0.085799,0.108409,-0.064978
U,-0.186199,0.123838,0.115586,-0.182377,0.299696,0.078386,-0.054785,0.169252,0.023561,-0.085799,1.000000,-0.215932,0.087445
V,0.391278,-0.280468,-0.268365,-0.294142,-0.203563,0.007603,0.182999,0.041677,-0.178003,0.108409,-0.215932,1.000000,-0.120796
W,0.012417,-0.213208,-0.090552,-0.268395,0.239841,0.062460,-0.005259,0.114686,-0.148009,-0.064978,0.087445,-0.120796,1.000000
