# SHAP Beeswarm Plot Raw Data
# Generated: 2025-05-07 01:56:55

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Lattice b_SHAP,Lattice b_Value,Lattice c_SHAP,Lattice c_Value,Biso o1_SHAP,Biso o1_Value,Biso o2_SHAP,Biso o2_Value,Biso o3_SHAP,Biso o3_Value,Biso pb_SHAP,Biso pb_Value,Biso s_SHAP,Biso s_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
0,-0.003800,-0.063130,0.001073,8.478745,0.000686,5.396903,0.000878,6.957962,-0.000197,1.989860,-0.000146,1.468490,-0.000131,1.318660,-0.000140,1.413410,-0.000406,0.418490,0.000150,1.481131,-0.000096,0.155708,0.000155,-0.455800,-0.000149,0.419281
1,0.003198,-0.112320,-0.000149,8.479676,-0.000090,5.396710,-0.000104,6.958920,0.000553,1.989710,0.000397,1.468740,0.000369,1.318540,0.000394,1.413200,0.001144,0.418440,-0.000830,1.481661,-0.000027,0.155552,-0.000281,-0.456227,0.000249,0.418996
2,-0.001421,-0.111260,0.000510,8.478763,0.000317,5.396368,0.000404,6.958026,-0.000253,1.989710,-0.000179,1.468570,-0.000166,1.318640,-0.000171,1.413320,-0.000482,0.418450,0.000146,1.480447,0.000388,0.155761,-0.001349,-0.455915,0.001217,0.419095
3,-0.002837,-0.077710,0.001822,8.478920,0.001157,5.396399,0.001493,6.959077,0.000065,1.989570,0.000049,1.468680,0.000042,1.318530,0.000045,1.413380,0.000152,0.418510,0.000172,1.479980,0.000111,0.155505,-0.000328,-0.455857,0.000303,0.418810
4,0.004006,-0.052270,-0.000734,8.479017,-0.000467,5.397103,-0.000600,6.958200,-0.000344,1.989800,-0.000249,1.468630,-0.000226,1.318700,-0.000243,1.413260,-0.000734,0.418470,-0.000151,1.482157,-0.000089,0.155522,0.000294,-0.455550,-0.000271,0.419086
5,0.007249,-0.051490,-0.000546,8.478799,-0.000333,5.396523,-0.000429,6.958554,-0.000144,1.989520,-0.000102,1.468530,-0.000094,1.318500,-0.000107,1.413400,-0.000326,0.418430,0.000069,1.479707,0.000130,0.155544,0.000721,-0.455710,-0.000588,0.419359
6,0.001652,-0.041620,0.000783,8.478586,0.000498,5.396284,0.000629,6.958072,-0.000177,1.989680,-0.000133,1.468460,-0.000120,1.318500,-0.000124,1.413280,-0.000363,0.418460,-0.000658,1.480802,-0.000850,0.155532,0.001768,-0.455633,-0.001689,0.419119
7,-0.007377,-0.098580,0.001109,8.479310,0.000695,5.396557,0.000915,6.958618,0.000949,1.989580,0.000697,1.468490,0.000627,1.318680,0.000671,1.413460,0.001962,0.418460,-0.000096,1.481049,-0.000265,0.155604,0.000645,-0.455577,-0.000599,0.419029
8,-0.000726,-0.090510,0.001401,8.479328,0.000889,5.396494,0.001146,6.959096,0.000003,1.989890,0.000001,1.468550,-0.000000,1.318680,-0.000000,1.413250,0.000005,0.418460,0.000079,1.479839,0.000160,0.155485,-0.000432,-0.455979,0.000396,0.419456
9,0.003066,-0.131830,0.000255,8.478661,0.000164,5.396913,0.000207,6.958869,-0.000435,1.989710,-0.000321,1.468680,-0.000291,1.318540,-0.000306,1.413300,-0.000900,0.418430,-0.000108,1.481453,0.000007,0.155622,-0.000489,-0.455782,0.000421,0.419446
10,0.017890,-0.062160,0.002155,8.478894,0.001377,5.396559,0.001781,6.958107,-0.000483,1.989630,-0.000338,1.468510,-0.000308,1.318630,-0.000347,1.413340,-0.000984,0.418440,-0.000123,1.480114,0.000619,0.155758,-0.000680,-0.455604,0.000699,0.418885
11,-0.000843,-0.040260,0.001142,8.479095,0.000724,5.396379,0.000933,6.958497,-0.000463,1.989830,-0.000344,1.468690,-0.000312,1.318590,-0.000330,1.413350,-0.000971,0.418450,-0.000104,1.480043,-0.000323,0.155577,0.000426,-0.455576,-0.000427,0.418873
12,0.003185,-0.069980,0.000215,8.479493,0.000138,5.396519,0.000181,6.958745,0.000197,1.989780,0.000146,1.468750,0.000131,1.318670,0.000141,1.413330,0.000399,0.418500,-0.000168,1.480010,0.000402,0.155656,-0.000911,-0.455722,0.000849,0.418982
13,0.001451,-0.053890,-0.002975,8.478483,-0.001882,5.396836,-0.002429,6.958995,0.000139,1.989530,0.000110,1.468570,0.000092,1.318580,0.000095,1.413450,0.000262,0.418470,-0.000110,1.481784,0.000091,0.155711,-0.000201,-0.455777,0.000189,0.419029
14,-0.001744,-0.118700,0.001267,8.479517,0.000810,5.396894,0.001036,6.959054,0.000141,1.989520,0.000106,1.468490,0.000095,1.318610,0.000103,1.413250,0.000328,0.418490,0.000074,1.481986,0.000344,0.155564,-0.001112,-0.456142,0.001012,0.418772
15,-0.004862,-0.124860,-0.000629,8.479266,-0.000410,5.397159,-0.000527,6.958877,0.000351,1.989870,0.000255,1.468590,0.000232,1.318470,0.000251,1.413370,0.000755,0.418450,0.000137,1.481585,-0.000377,0.155753,0.000766,-0.456287,-0.000740,0.419308
16,-0.008084,-0.133820,0.000659,8.479478,0.000421,5.397176,0.000543,6.958742,0.000309,1.989510,0.000229,1.468520,0.000210,1.318570,0.000218,1.413270,0.000632,0.418500,-0.000327,1.479796,0.000036,0.155563,0.000303,-0.456274,-0.000247,0.418868
17,-0.006064,-0.115970,0.001682,8.479588,0.001066,5.396987,0.001369,6.958186,-0.000184,1.989550,-0.000136,1.468670,-0.000121,1.318510,-0.000127,1.413270,-0.000378,0.418480,0.000066,1.481916,0.000167,0.155557,-0.000476,-0.455659,0.000428,0.418783
