# SHAP Dependence Plot Data for Lattice a
# Generated: 2025-05-07 01:56:55
# Colored by: Zero

# Lattice a_Value,SHAP_Impact,Zero_Value
8.478745,0.001073,-0.063130
8.479676,-0.000149,-0.112320
8.478763,0.000510,-0.111260
8.478920,0.001822,-0.077710
8.479017,-0.000734,-0.052270
8.478799,-0.000546,-0.051490
8.478586,0.000783,-0.041620
8.479310,0.001109,-0.098580
8.479328,0.001401,-0.090510
8.478661,0.000255,-0.131830
8.478894,0.002155,-0.062160
8.479095,0.001142,-0.040260
8.479493,0.000215,-0.069980
8.478483,-0.002975,-0.053890
8.479517,0.001267,-0.118700
8.479266,-0.000629,-0.124860
8.479478,0.000659,-0.133820
8.479588,0.001682,-0.115970
8.478220,-0.007090,-0.119280
8.479076,0.000212,-0.039980
8.478159,-0.001246,-0.076990
8.479268,0.001794,-0.061160
8.478439,-0.001865,-0.114700
8.478949,-0.000387,-0.053120
8.478073,0.001428,-0.070990
8.478906,-0.002408,-0.115390
8.479353,0.000720,-0.086520
8.478878,0.000557,-0.042940
8.478115,0.000355,-0.116880
8.479015,0.004692,-0.085830
8.479212,-0.001502,-0.062250
8.479108,0.000670,-0.072290
8.478947,0.002620,-0.060280
8.478386,0.000576,-0.079200
8.478985,0.000753,-0.103120
8.479319,-0.002207,-0.041010
8.479478,0.000046,-0.099780
8.478455,0.002447,-0.043820
8.479064,-0.000526,-0.121970
8.478108,-0.000474,-0.057330
8.478465,-0.000477,-0.109070
8.478388,0.000323,-0.097240
8.478421,-0.000037,-0.131780
8.479289,-0.000058,-0.086690
8.478543,0.002590,-0.136000
8.479406,-0.000335,-0.057610
8.478601,-0.001523,-0.039770
8.479560,-0.000423,-0.126380
8.478315,0.002788,-0.059600
8.479164,0.002095,-0.109600
