# SHAP Dependence Plot Data for Lattice c
# Generated: 2025-05-07 01:56:55
# Colored by: Zero

# Lattice c_Value,SHAP_Impact,Zero_Value
6.957962,0.000878,-0.063130
6.958920,-0.000104,-0.112320
6.958026,0.000404,-0.111260
6.959077,0.001493,-0.077710
6.958200,-0.000600,-0.052270
6.958554,-0.000429,-0.051490
6.958072,0.000629,-0.041620
6.958618,0.000915,-0.098580
6.959096,0.001146,-0.090510
6.958869,0.000207,-0.131830
6.958107,0.001781,-0.062160
6.958497,0.000933,-0.040260
6.958745,0.000181,-0.069980
6.958995,-0.002429,-0.053890
6.959054,0.001036,-0.118700
6.958877,-0.000527,-0.124860
6.958742,0.000543,-0.133820
6.958186,0.001369,-0.115970
6.958407,-0.005800,-0.119280
6.959091,0.000165,-0.039980
6.958711,-0.001034,-0.076990
6.959044,0.001475,-0.061160
6.958932,-0.001521,-0.114700
6.958940,-0.000328,-0.053120
6.958418,0.001162,-0.070990
6.957986,-0.001974,-0.115390
6.957924,0.000594,-0.086520
6.959075,0.000457,-0.042940
6.957883,0.000281,-0.116880
6.958548,0.003841,-0.085830
6.958035,-0.001233,-0.062250
6.958558,0.000547,-0.072290
6.957973,0.002164,-0.060280
6.957849,0.000466,-0.079200
6.958169,0.000622,-0.103120
6.958657,-0.001801,-0.041010
6.958318,0.000043,-0.099780
6.957707,0.001999,-0.043820
6.959074,-0.000422,-0.121970
6.958407,-0.000400,-0.057330
6.958745,-0.000399,-0.109070
6.958420,0.000278,-0.097240
6.957948,-0.000042,-0.131780
6.958085,-0.000049,-0.086690
6.958893,0.002138,-0.136000
6.959081,-0.000275,-0.057610
6.958471,-0.001254,-0.039770
6.958646,-0.000344,-0.126380
6.957911,0.002275,-0.059600
6.958609,0.001710,-0.109600
