# SHAP Dependence Plot Data for Zero
# Generated: 2025-05-07 01:56:55
# Colored by: Lattice a

# Zero_Value,SHAP_Impact,Lattice a_Value
-0.063130,-0.003800,8.478745
-0.112320,0.003198,8.479676
-0.111260,-0.001421,8.478763
-0.077710,-0.002837,8.478920
-0.052270,0.004006,8.479017
-0.051490,0.007249,8.478799
-0.041620,0.001652,8.478586
-0.098580,-0.007377,8.479310
-0.090510,-0.000726,8.479328
-0.131830,0.003066,8.478661
-0.062160,0.017890,8.478894
-0.040260,-0.000843,8.479095
-0.069980,0.003185,8.479493
-0.053890,0.001451,8.478483
-0.118700,-0.001744,8.479517
-0.124860,-0.004862,8.479266
-0.133820,-0.008084,8.479478
-0.115970,-0.006064,8.479588
-0.119280,0.040071,8.478220
-0.039980,0.001454,8.479076
-0.076990,-0.000992,8.478159
-0.061160,-0.000904,8.479268
-0.114700,0.007355,8.478439
-0.053120,-0.010668,8.478949
-0.070990,-0.005266,8.478073
-0.115390,-0.000393,8.478906
-0.086520,0.000031,8.479353
-0.042940,0.001812,8.478878
-0.116880,-0.001381,8.478115
-0.085830,0.005392,8.479015
-0.062250,0.010200,8.479212
-0.072290,-0.007074,8.479108
-0.060280,0.001044,8.478947
-0.079200,0.001208,8.478386
-0.103120,0.006322,8.478985
-0.041010,0.002853,8.479319
-0.099780,0.013734,8.479478
-0.043820,0.003332,8.478455
-0.121970,-0.004176,8.479064
-0.057330,-0.004143,8.478108
-0.109070,-0.002065,8.478465
-0.097240,0.002640,8.478388
-0.131780,0.003809,8.478421
-0.086690,-0.008308,8.479289
-0.136000,0.000071,8.478543
-0.057610,0.013060,8.479406
-0.039770,0.006350,8.478601
-0.126380,-0.003450,8.479560
-0.059600,-0.002223,8.478315
-0.109600,-0.008319,8.479164
