# 2-Theta   Intensity
15.0000   586.0
15.0200   581.0
15.0400   605.0
15.0600   566.0
15.0800   576.0
15.1000   534.0
15.1200   571.0
15.1400   581.0
15.1600   610.0
15.1800   576.0
15.2000   600.0
15.2200   620.0
15.2400   600.0
15.2600   671.0
15.2800   650.0
15.3000   702.0
15.3200   767.0
15.3400   812.0
15.3600   778.0
15.3800   666.0
15.4000   610.0
15.4200   571.0
15.4400   566.0
15.4600   529.0
15.4800   511.0
15.5000   524.0
15.5200   600.0
15.5400   524.0
15.5600   543.0
15.5800   543.0
15.6000   557.0
15.6200   506.0
15.6400   562.0
15.6600   562.0
15.6800   538.0
15.7000   524.0
15.7200   538.0
15.7400   571.0
15.7600   520.0
15.7800   534.0
15.8000   524.0
15.8200   529.0
15.8400   538.0
15.8600   511.0
15.8800   566.0
15.9000   515.0
15.9200   520.0
15.9400   538.0
15.9600   534.0
15.9800   552.0
16.0000   515.0
16.0200   524.0
16.0400   502.0
16.0600   488.0
16.0800   524.0
16.1000   529.0
16.1200   488.0
16.1400   480.0
16.1600   493.0
16.1800   524.0
16.2000   484.0
16.2200   497.0
16.2400   511.0
16.2600   515.0
16.2800   471.0
16.3000   520.0
16.3200   471.0
16.3400   488.0
16.3600   515.0
16.3800   520.0
16.4000   502.0
16.4200   524.0
16.4400   520.0
16.4600   497.0
16.4800   506.0
16.5000   484.0
16.5200   493.0
16.5400   497.0
16.5600   493.0
16.5800   484.0
16.6000   484.0
16.6200   502.0
16.6400   484.0
16.6600   493.0
16.6800   493.0
16.7000   511.0
16.7200   484.0
16.7400   471.0
16.7600   506.0
16.7800   497.0
16.8000   480.0
16.8200   471.0
16.8400   511.0
16.8600   534.0
16.8800   548.0
16.9000   502.0
16.9200   524.0
16.9400   511.0
16.9600   534.0
16.9800   557.0
17.0000   520.0
17.0200   590.0
17.0400   650.0
17.0600   650.0
17.0800   566.0
17.1000   534.0
17.1200   524.0
17.1400   493.0
17.1600   467.0
17.1800   467.0
17.2000   488.0
17.2200   471.0
17.2400   454.0
17.2600   480.0
17.2800   408.0
17.3000   441.0
17.3200   467.0
17.3400   449.0
17.3600   433.0
17.3800   449.0
17.4000   454.0
17.4200   433.0
17.4400   445.0
17.4600   467.0
17.4800   458.0
17.5000   441.0
17.5200   480.0
17.5400   408.0
17.5600   462.0
17.5800   445.0
17.6000   462.0
17.6200   437.0
17.6400   458.0
17.6600   437.0
17.6800   458.0
17.7000   454.0
17.7200   416.0
17.7400   437.0
17.7600   437.0
17.7800   445.0
17.8000   445.0
17.8200   420.0
17.8400   454.0
17.8600   445.0
17.8800   445.0
17.9000   449.0
17.9200   424.0
17.9400   420.0
17.9600   449.0
17.9800   412.0
18.0000   416.0
18.0200   424.0
18.0400   471.0
18.0600   467.0
18.0800   441.0
18.1000   445.0
18.1200   424.0
18.1400   396.0
18.1600   420.0
18.1800   428.0
18.2000   433.0
18.2200   433.0
18.2400   416.0
18.2600   441.0
18.2800   404.0
18.3000   404.0
18.3200   441.0
18.3400   467.0
18.3600   424.0
18.3800   420.0
18.4000   449.0
18.4200   462.0
18.4400   462.0
18.4600   392.0
18.4800   365.0
18.5000   428.0
18.5200   433.0
18.5400   412.0
18.5600   458.0
18.5800   404.0
18.6000   408.0
18.6200   416.0
18.6400   437.0
18.6600   408.0
18.6800   441.0
18.7000   384.0
18.7200   400.0
18.7400   428.0
18.7600   424.0
18.7800   384.0
18.8000   458.0
18.8200   416.0
18.8400   416.0
18.8600   408.0
18.8800   396.0
18.9000   365.0
18.9200   404.0
18.9400   420.0
18.9600   412.0
18.9800   433.0
19.0000   404.0
19.0200   412.0
19.0400   396.0
19.0600   412.0
19.0800   424.0
19.1000   380.0
19.1200   437.0
19.1400   400.0
19.1600   372.0
19.1800   449.0
19.2000   424.0
19.2200   428.0
19.2400   428.0
19.2600   416.0
19.2800   376.0
19.3000   404.0
19.3200   433.0
19.3400   416.0
19.3600   412.0
19.3800   420.0
19.4000   412.0
19.4200   416.0
19.4400   433.0
19.4600   388.0
19.4800   437.0
19.5000   424.0
19.5200   392.0
19.5400   392.0
19.5600   400.0
19.5800   365.0
19.6000   396.0
19.6200   400.0
19.6400   388.0
19.6600   412.0
19.6800   416.0
19.7000   392.0
19.7200   388.0
19.7400   346.0
19.7600   384.0
19.7800   380.0
19.8000   433.0
19.8200   396.0
19.8400   346.0
19.8600   392.0
19.8800   346.0
19.9000   416.0
19.9200   388.0
19.9400   357.0
19.9600   380.0
19.9800   369.0
20.0000   369.0
20.0200   380.0
20.0400   372.0
20.0600   380.0
20.0800   369.0
20.1000   369.0
20.1200   400.0
20.1400   380.0
20.1600   392.0
20.1800   376.0
20.2000   388.0
20.2200   376.0
20.2400   361.0
20.2600   342.0
20.2800   342.0
20.3000   369.0
20.3200   372.0
20.3400   365.0
20.3600   357.0
20.3800   380.0
20.4000   365.0
20.4200   331.0
20.4400   357.0
20.4600   369.0
20.4800   357.0
20.5000   396.0
20.5200   331.0
20.5400   369.0
20.5600   369.0
20.5800   365.0
20.6000   353.0
20.6200   306.0
20.6400   331.0
20.6600   353.0
20.6800   384.0
20.7000   346.0
20.7200   380.0
20.7400   365.0
20.7600   361.0
20.7800   396.0
20.8000   357.0
20.8200   342.0
20.8400   320.0
20.8600   361.0
20.8800   365.0
20.9000   339.0
20.9200   350.0
20.9400   372.0
20.9600   350.0
20.9800   353.0
21.0000   353.0
21.0200   346.0
21.0400   388.0
21.0600   335.0
21.0800   384.0
21.1000   396.0
21.1200   350.0
21.1400   335.0
21.1600   369.0
21.1800   331.0
21.2000   350.0
21.2200   342.0
21.2400   342.0
21.2600   335.0
21.2800   346.0
21.3000   376.0
21.3200   324.0
21.3400   388.0
21.3600   342.0
21.3800   339.0
21.4000   339.0
21.4200   361.0
21.4400   361.0
21.4600   328.0
21.4800   342.0
21.5000   320.0
21.5200   306.0
21.5400   361.0
21.5600   365.0
21.5800   320.0
21.6000   335.0
21.6200   328.0
21.6400   342.0
21.6600   331.0
21.6800   303.0
21.7000   339.0
21.7200   317.0
21.7400   313.0
21.7600   346.0
21.7800   320.0
21.8000   342.0
21.8200   350.0
21.8400   350.0
21.8600   289.0
21.8800   365.0
21.9000   299.0
21.9200   339.0
21.9400   365.0
21.9600   306.0
21.9800   331.0
22.0000   331.0
22.0200   357.0
22.0400   317.0
22.0600   313.0
22.0800   324.0
22.1000   342.0
22.1200   320.0
22.1400   320.0
22.1600   286.0
22.1800   324.0
22.2000   296.0
22.2200   346.0
22.2400   282.0
22.2600   310.0
22.2800   320.0
22.3000   310.0
22.3200   320.0
22.3400   299.0
22.3600   320.0
22.3800   320.0
22.4000   350.0
22.4200   313.0
22.4400   328.0
22.4600   286.0
22.4800   286.0
22.5000   306.0
22.5200   292.0
22.5400   286.0
22.5600   296.0
22.5800   313.0
22.6000   303.0
22.6200   331.0
22.6400   303.0
22.6600   317.0
22.6800   289.0
22.7000   279.0
22.7200   282.0
22.7400   292.0
22.7600   320.0
22.7800   306.0
22.8000   292.0
22.8200   306.0
22.8400   296.0
22.8600   306.0
22.8800   342.0
22.9000   299.0
22.9200   292.0
22.9400   306.0
22.9600   313.0
22.9800   331.0
23.0000   303.0
23.0200   317.0
23.0400   276.0
23.0600   299.0
23.0800   303.0
23.1000   313.0
23.1200   342.0
23.1400   339.0
23.1600   276.0
23.1800   313.0
23.2000   306.0
23.2200   320.0
23.2400   276.0
23.2600   328.0
23.2800   262.0
23.3000   313.0
23.3200   276.0
23.3400   320.0
23.3600   313.0
23.3800   292.0
23.4000   306.0
23.4200   306.0
23.4400   306.0
23.4600   306.0
23.4800   313.0
23.5000   299.0
23.5200   303.0
23.5400   279.0
23.5600   328.0
23.5800   306.0
23.6000   328.0
23.6200   317.0
23.6400   342.0
23.6600   342.0
23.6800   353.0
23.7000   376.0
23.7200   380.0
23.7400   384.0
23.7600   388.0
23.7800   392.0
23.8000   437.0
23.8200   502.0
23.8400   480.0
23.8600   515.0
23.8800   548.0
23.9000   595.0
23.9200   571.0
23.9400   650.0
23.9600   590.0
23.9800   605.0
24.0000   605.0
24.0200   590.0
24.0400   571.0
24.0600   515.0
24.0800   543.0
24.1000   520.0
24.1200   497.0
24.1400   488.0
24.1600   433.0
24.1800   433.0
24.2000   454.0
24.2200   445.0
24.2400   392.0
24.2600   420.0
24.2800   384.0
24.3000   388.0
24.3200   384.0
24.3400   365.0
24.3600   339.0
24.3800   328.0
24.4000   331.0
24.4200   306.0
24.4400   320.0
24.4600   339.0
24.4800   299.0
24.5000   346.0
24.5200   306.0
24.5400   339.0
24.5600   299.0
24.5800   306.0
24.6000   365.0
24.6200   339.0
24.6400   372.0
24.6600   361.0
24.6800   412.0
24.7000   424.0
24.7200   441.0
24.7400   488.0
24.7600   600.0
24.7800   676.0
24.8000   807.0
24.8200   1170.0
24.8400   1552.0
24.8600   1756.0
24.8800   2070.0
24.9000   2372.0
24.9200   2294.0
24.9400   1798.0
24.9600   1399.0
24.9800   1232.0
25.0000   894.0
25.0200   543.0
25.0400   433.0
25.0600   335.0
25.0800   392.0
25.1000   346.0
25.1200   324.0
25.1400   328.0
25.1600   317.0
25.1800   303.0
25.2000   276.0
25.2200   313.0
25.2400   272.0
25.2600   317.0
25.2800   296.0
25.3000   279.0
25.3200   262.0
25.3400   306.0
25.3600   306.0
25.3800   276.0
25.4000   266.0
25.4200   262.0
25.4400   272.0
25.4600   246.0
25.4800   276.0
25.5000   276.0
25.5200   240.0
25.5400   256.0
25.5600   269.0
25.5800   292.0
25.6000   303.0
25.6200   262.0
25.6400   240.0
25.6600   269.0
25.6800   279.0
25.7000   262.0
25.7200   231.0
25.7400   266.0
25.7600   272.0
25.7800   279.0
25.8000   246.0
25.8200   286.0
25.8400   246.0
25.8600   289.0
25.8800   240.0
25.9000   272.0
25.9200   269.0
25.9400   299.0
25.9600   292.0
25.9800   253.0
26.0000   259.0
26.0200   292.0
26.0400   259.0
26.0600   250.0
26.0800   259.0
26.1000   279.0
26.1200   253.0
26.1400   276.0
26.1600   253.0
26.1800   259.0
26.2000   262.0
26.2200   292.0
26.2400   272.0
26.2600   269.0
26.2800   266.0
26.3000   204.0
26.3200   276.0
26.3400   246.0
26.3600   292.0
26.3800   262.0
26.4000   269.0
26.4200   234.0
26.4400   276.0
26.4600   246.0
26.4800   256.0
26.5000   272.0
26.5200   262.0
26.5400   246.0
26.5600   262.0
26.5800   272.0
26.6000   262.0
26.6200   272.0
26.6400   259.0
26.6600   266.0
26.6800   262.0
26.7000   286.0
26.7200   266.0
26.7400   276.0
26.7600   269.0
26.7800   286.0
26.8000   276.0
26.8200   253.0
26.8400   250.0
26.8600   237.0
26.8800   231.0
26.9000   269.0
26.9200   262.0
26.9400   237.0
26.9600   303.0
26.9800   250.0
27.0000   259.0
27.0200   289.0
27.0400   266.0
27.0600   250.0
27.0800   243.0
27.1000   266.0
27.1200   266.0
27.1400   256.0
27.1600   246.0
27.1800   279.0
27.2000   256.0
27.2200   292.0
27.2400   286.0
27.2600   262.0
27.2800   331.0
27.3000   303.0
27.3200   292.0
27.3400   320.0
27.3600   313.0
27.3800   388.0
27.4000   396.0
27.4200   404.0
27.4400   449.0
27.4600   506.0
27.4800   511.0
27.5000   610.0
27.5200   660.0
27.5400   795.0
27.5600   999.0
27.5800   1211.0
27.6000   1815.0
