# SHAP Beeswarm Plot Raw Data
# Generated: 2025-06-29 01:41:18

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Lattice b_SHAP,Lattice b_Value,Lattice c_SHAP,Lattice c_Value,Biso ba_SHAP,Biso ba_Value,Biso co_SHAP,Biso co_Value,Biso o1_SHAP,Biso o1_Value,Biso o2_SHAP,Biso o2_Value,Biso tb_SHAP,Biso tb_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
0,-0.001050,-0.022400,-0.000464,3.756006,-0.000704,5.823898,-0.000150,11.550827,0.000357,0.030440,0.000355,0.030430,0.000354,0.030450,0.000359,0.030470,0.000362,0.030470,-0.000318,0.000434,-0.000894,0.026934,0.000915,-0.027507,-0.000569,0.016706
1,0.000334,-0.014460,0.000771,3.756203,0.001199,5.823800,0.000224,11.551205,-0.000209,0.030460,-0.000213,0.030450,-0.000211,0.030430,-0.000215,0.030440,-0.000212,0.030460,0.001504,0.000434,0.000011,0.026968,-0.000019,-0.027507,-0.000009,0.016702
2,-0.001178,-0.016600,-0.000450,3.756290,-0.000701,5.823556,-0.000141,11.552302,0.000880,0.030440,0.000880,0.030440,0.000879,0.030440,0.000884,0.030430,0.000876,0.030440,-0.000240,0.000433,0.000336,0.026935,-0.000339,-0.027491,0.000206,0.016712
3,-0.000944,-0.020010,0.000892,3.755946,0.001376,5.824286,0.000275,11.552642,-0.000363,0.030440,-0.000367,0.030450,-0.000369,0.030450,-0.000356,0.030450,-0.000377,0.030470,-0.000864,0.000434,-0.000294,0.026964,0.000305,-0.027504,-0.000145,0.016692
4,0.000513,-0.005680,0.000274,3.756130,0.000430,5.823645,0.000097,11.552304,-0.001948,0.030430,-0.001947,0.030440,-0.001947,0.030450,-0.001942,0.030430,-0.001954,0.030440,-0.001117,0.000434,-0.001474,0.026969,0.001508,-0.027493,-0.000897,0.016693
5,-0.001229,-0.021580,0.000402,3.756142,0.000633,5.823290,0.000126,11.551711,0.001469,0.030450,0.001471,0.030450,0.001465,0.030430,0.001482,0.030450,0.001469,0.030470,-0.001444,0.000433,0.000944,0.026967,-0.000959,-0.027492,0.000579,0.016698
6,0.000012,-0.018240,0.000515,3.755759,0.000804,5.823326,0.000159,11.552594,0.000593,0.030450,0.000594,0.030440,0.000595,0.030460,0.000591,0.030460,0.000596,0.030460,-0.000153,0.000433,-0.000176,0.026930,0.000178,-0.027478,-0.000124,0.016687
7,-0.001995,-0.030610,-0.000467,3.755800,-0.000733,5.823538,-0.000142,11.550942,-0.000591,0.030430,-0.000599,0.030460,-0.000601,0.030450,-0.000592,0.030450,-0.000599,0.030460,0.000896,0.000434,0.000176,0.026935,-0.000185,-0.027473,0.000116,0.016693
8,0.000270,-0.013780,0.000870,3.755764,0.001351,5.824079,0.000279,11.552131,-0.000019,0.030460,-0.000011,0.030460,-0.000004,0.030450,-0.000020,0.030470,0.000004,0.030450,-0.002438,0.000433,-0.000048,0.026938,0.000032,-0.027516,-0.000038,0.016686
9,-0.000896,-0.015280,-0.000508,3.756223,-0.000793,5.823481,-0.000154,11.552787,-0.000158,0.030460,-0.000158,0.030440,-0.000157,0.030430,-0.000159,0.030460,-0.000159,0.030440,0.000093,0.000434,-0.000326,0.026950,0.000330,-0.027489,-0.000192,0.016697
