# SHAP Dependence Plot Data for Lattice b
# Generated: 2025-06-29 01:41:18
# Colored by: Zero

# Lattice b_Value,SHAP_Impact,Zero_Value
5.823898,-0.000704,-0.022400
5.823800,0.001199,-0.014460
5.823556,-0.000701,-0.016600
5.824286,0.001376,-0.020010
5.823645,0.000430,-0.005680
5.823290,0.000633,-0.021580
5.823326,0.000804,-0.018240
5.823538,-0.000733,-0.030610
5.824079,0.001351,-0.013780
5.823481,-0.000793,-0.015280
5.823586,-0.002328,-0.030870
5.823391,-0.001061,-0.027390
5.823396,-0.000253,-0.007750
5.823726,-0.001749,-0.040790
5.823853,-0.000631,-0.026210
5.823472,-0.000127,-0.004940
5.824070,0.001729,-0.022410
5.824287,0.000241,-0.017760
5.823604,0.000851,-0.005890
5.823333,0.003356,-0.020150
5.823613,0.001108,-0.034280
5.823543,-0.004546,-0.013730
5.824206,-0.000315,-0.039550
5.823397,0.001192,-0.001520
5.823922,0.000449,-0.023840
5.824223,0.000207,-0.035750
5.823331,0.001840,-0.020620
5.824111,-0.000078,-0.028570
5.823450,0.001059,-0.018860
5.823579,-0.000356,-0.021970
5.823390,0.000491,-0.007420
5.823629,-0.000679,-0.010280
5.824018,0.001733,-0.015870
5.823661,-0.000174,-0.038260
5.823916,0.000319,-0.009820
5.824358,0.000798,-0.001420
5.824298,0.000605,-0.029670
5.823413,0.000199,-0.024100
5.824225,0.000656,-0.026380
5.824192,-0.001809,-0.012320
5.823742,0.000173,-0.012150
5.823484,-0.000439,-0.040800
5.824308,-0.000765,-0.021040
5.823759,0.000773,-0.027440
5.823593,-0.000090,-0.038080
5.823335,-0.002360,-0.016890
5.823885,-0.001163,-0.037010
5.823769,0.000170,-0.014760
5.823987,0.000604,-0.012210
5.824077,0.003662,-0.022520
