# SHAP Dependence Plot Data for Scale
# Generated: 2025-06-29 01:41:18
# Colored by: Zero

# Scale_Value,SHAP_Impact,Zero_Value
0.000434,-0.000318,-0.022400
0.000434,0.001504,-0.014460
0.000433,-0.000240,-0.016600
0.000434,-0.000864,-0.020010
0.000434,-0.001117,-0.005680
0.000433,-0.001444,-0.021580
0.000433,-0.000153,-0.018240
0.000434,0.000896,-0.030610
0.000433,-0.002438,-0.013780
0.000434,0.000093,-0.015280
0.000433,0.002042,-0.030870
0.000433,0.003860,-0.027390
0.000434,-0.000192,-0.007750
0.000434,0.001185,-0.040790
0.000434,-0.002189,-0.026210
0.000434,0.000172,-0.004940
0.000433,0.000426,-0.022410
0.000433,-0.000349,-0.017760
0.000433,0.001846,-0.005890
0.000434,-0.002296,-0.020150
0.000434,0.001067,-0.034280
0.000433,-0.001015,-0.013730
0.000434,-0.000229,-0.039550
0.000433,-0.000273,-0.001520
0.000434,-0.000035,-0.023840
0.000434,0.000598,-0.035750
0.000433,-0.000056,-0.020620
0.000434,-0.000141,-0.028570
0.000434,0.000654,-0.018860
0.000434,-0.000325,-0.021970
0.000434,-0.001417,-0.007420
0.000434,0.000970,-0.010280
0.000434,-0.000621,-0.015870
0.000434,-0.000021,-0.038260
0.000434,-0.000174,-0.009820
0.000434,-0.001829,-0.001420
0.000433,-0.003460,-0.029670
0.000434,-0.000407,-0.024100
0.000434,-0.000253,-0.026380
0.000434,0.002359,-0.012320
0.000433,0.001555,-0.012150
0.000434,0.000065,-0.040800
0.000433,0.001557,-0.021040
0.000433,-0.001558,-0.027440
0.000434,0.000102,-0.038080
0.000433,0.000211,-0.016890
0.000434,-0.001935,-0.037010
0.000433,0.000300,-0.014760
0.000434,-0.001158,-0.012210
0.000434,0.000550,-0.022520
