# SHAP Dependence Plot Data for Zero
# Generated: 2025-06-29 01:41:18
# Colored by: Lattice b

# Zero_Value,SHAP_Impact,Lattice b_Value
-0.022400,-0.001050,5.823898
-0.014460,0.000334,5.823800
-0.016600,-0.001178,5.823556
-0.020010,-0.000944,5.824286
-0.005680,0.000513,5.823645
-0.021580,-0.001229,5.823290
-0.018240,0.000012,5.823326
-0.030610,-0.001995,5.823538
-0.013780,0.000270,5.824079
-0.015280,-0.000896,5.823481
-0.030870,0.002132,5.823586
-0.027390,0.001327,5.823391
-0.007750,-0.000538,5.823396
-0.040790,0.002113,5.823726
-0.026210,0.000844,5.823853
-0.004940,-0.000569,5.823472
-0.022410,-0.001528,5.824070
-0.017760,-0.001702,5.824287
-0.005890,-0.000430,5.823604
-0.020150,-0.001452,5.823333
-0.034280,0.000183,5.823613
-0.013730,-0.000247,5.823543
-0.039550,0.000302,5.824206
-0.001520,-0.001105,5.823397
-0.023840,-0.000162,5.823922
-0.035750,0.000160,5.824223
-0.020620,-0.000186,5.823331
-0.028570,0.001620,5.824111
-0.018860,0.002228,5.823450
-0.021970,0.001604,5.823579
-0.007420,-0.000396,5.823390
-0.010280,0.000097,5.823629
-0.015870,-0.000317,5.824018
-0.038260,-0.001139,5.823661
-0.009820,-0.002561,5.823916
-0.001420,0.001557,5.824358
-0.029670,-0.000937,5.824298
-0.024100,-0.001544,5.823413
-0.026380,-0.001951,5.824225
-0.012320,0.005977,5.824192
-0.012150,0.000934,5.823742
-0.040800,0.003609,5.823484
-0.021040,-0.003149,5.824308
-0.027440,0.000277,5.823759
-0.038080,0.000143,5.823593
-0.016890,-0.001330,5.823335
-0.037010,0.002609,5.823885
-0.014760,-0.000653,5.823769
-0.012210,0.002774,5.823987
-0.022520,0.000645,5.824077
