# SHAP Analysis Results - Summary Statistics
# Generated: 2025-06-29 01:41:18

# Parameter Name | Mean |SHAP| | Std SHAP | Max |SHAP| | Mean Value | Value Range
Zero              0.001229   0.001647   0.005977  -0.020799 [ -0.040800,  -0.001420]
Lattice b         0.000997   0.001356   0.004546   5.823761 [  5.823290,   5.824358]
Scale             0.000970   0.001324   0.003860   0.000434 [  0.000433,   0.000434]
Lattice a         0.000643   0.000873   0.002914   3.756030 [  3.755637,   3.756345]
Biso ba           0.000582   0.000760   0.002230   0.030448 [  0.030430,   0.030470]
Biso o1           0.000582   0.000762   0.002258   0.030450 [  0.030430,   0.030470]
Biso tb           0.000582   0.000761   0.002239   0.030453 [  0.030430,   0.030470]
Biso co           0.000581   0.000761   0.002241   0.030451 [  0.030430,   0.030470]
Biso o2           0.000581   0.000759   0.002222   0.030452 [  0.030430,   0.030470]
V                 0.000465   0.000622   0.001508  -0.027497 [ -0.027520,  -0.027467]
U                 0.000456   0.000609   0.001474   0.026943 [  0.026920,   0.026969]
W                 0.000283   0.000378   0.000897   0.016702 [  0.016686,   0.016719]
Lattice c         0.000198   0.000267   0.000878  11.551853 [ 11.550791,  11.552902]


# Parameter Correlation Matrix
# Zero         Lattice a    Lattice b    Lattice c    Biso ba      Biso co      Biso o1      Biso o2      Biso tb      Scale        U            V            W           
Zero     1.000000    -0.070312    -0.110512     0.116341     0.153229     0.016746    -0.050151    -0.063560     0.019049    -0.118068     0.191721     0.056480     0.135004
Lattice a    -0.070312     1.000000    -0.170570    -0.066320    -0.273525    -0.227171    -0.090961    -0.146280    -0.316425     0.012734     0.223715    -0.148325     0.156204
Lattice b    -0.110512    -0.170570     1.000000    -0.127398     0.036200    -0.064431    -0.056469     0.103169    -0.014631     0.055739    -0.027318    -0.108755    -0.158376
Lattice c     0.116341    -0.066320    -0.127398     1.000000     0.007224     0.230294     0.289977    -0.019315     0.390102    -0.015511    -0.051106    -0.168902    -0.042602
Biso ba     0.153229    -0.273525     0.036200     0.007224     1.000000     0.129175     0.135798     0.060935     0.117241    -0.253237     0.134875     0.093645     0.020122
Biso co     0.016746    -0.227171    -0.064431     0.230294     0.129175     1.000000     0.143029     0.041018     0.328278    -0.069406     0.059398     0.013843     0.001733
Biso o1    -0.050151    -0.090961    -0.056469     0.289977     0.135798     0.143029     1.000000     0.153480     0.080574    -0.187745    -0.047349    -0.050711     0.053622
Biso o2    -0.063560    -0.146280     0.103169    -0.019315     0.060935     0.041018     0.153480     1.000000     0.050915    -0.001370    -0.196113     0.141285    -0.036363
Biso tb     0.019049    -0.316425    -0.014631     0.390102     0.117241     0.328278     0.080574     0.050915     1.000000    -0.088572    -0.076985     0.059533    -0.225404
Scale    -0.118068     0.012734     0.055739    -0.015511    -0.253237    -0.069406    -0.187745    -0.001370    -0.088572     1.000000     0.103271    -0.192459     0.026507
U     0.191721     0.223715    -0.027318    -0.051106     0.134875     0.059398    -0.047349    -0.196113    -0.076985     0.103271     1.000000    -0.091085    -0.170695
V     0.056480    -0.148325    -0.108755    -0.168902     0.093645     0.013843    -0.050711     0.141285     0.059533    -0.192459    -0.091085     1.000000    -0.144172
W     0.135004     0.156204    -0.158376    -0.042602     0.020122     0.001733     0.053622    -0.036363    -0.225404     0.026507    -0.170695    -0.144172     1.000000
